ticker,sector,industry,next_earnings,marketCap,shortName,longName,exchange1,exchange2
ACM,Industrials,Engineering & Construction,2025-08-04,14393025536,AECOM,AECOM,NYSE,Delayed Quote
AES,Utilities,Utilities - Diversified,2025-07-30,7154826240,The AES Corporation,The AES Corporation,NYSE,Delayed Quote
AMG,Financial Services,Asset Management,2025-07-28,5040159744,"Affiliated Managers Group, Inc.","Affiliated Managers Group, Inc.",NYSE,Delayed Quote
AFRM,Technology,Software - Infrastructure,2025-08-26,16791329792,"Affirm Holdings, Inc.","Affirm Holdings, Inc.",NasdaqGS,Nasdaq Real Time Price
AFL,Financial Services,Insurance - Life,2025-07-29,55583711232,AFLAC Incorporated,Aflac Incorporated,NYSE,Delayed Quote
AGCO,Industrials,Farm & Heavy Construction Machinery,2025-07-28,7572051456,AGCO Corporation,AGCO Corporation,NYSE,Delayed Quote
A,Healthcare,Diagnostics & Research,2025-08-19,32164270080,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",NYSE,Delayed Quote
ADC,Real Estate,REIT - Retail,2025-07-21,8211230720,Agree Realty Corporation,Agree Realty Corporation,NYSE,Delayed Quote
AGNC,Real Estate,REIT - Mortgage,2025-07-21,9295662080,AGNC Investment Corp.,AGNC Investment Corp.,NasdaqGS,Nasdaq Real Time Price
AL,Industrials,Rental & Leasing Services,2025-07-30,6505491456,Air Lease Corporation,Air Lease Corporation,NYSE,Delayed Quote
APD,Basic Materials,Specialty Chemicals,2025-07-30,60792348672,"Air Products and Chemicals, Inc","Air Products and Chemicals, Inc.",NYSE,Delayed Quote
ABNB,Consumer Cyclical,Travel Services,2025-08-04,79225462784,"Airbnb, Inc.","Airbnb, Inc.",NasdaqGS,Nasdaq Real Time Price
AKAM,Technology,Software - Infrastructure,2025-08-06,10830345216,"Akamai Technologies, Inc.","Akamai Technologies, Inc.",NasdaqGS,Nasdaq Real Time Price
ALK,Industrials,Airlines,2025-07-16,6316077568,"Alaska Air Group, Inc.","Alaska Air Group, Inc.",NYSE,N/A
ALB,Basic Materials,Specialty Chemicals,2025-07-29,6764331008,Albemarle Corporation,Albemarle Corporation,NYSE,Nasdaq Real Time Price
ACI,Consumer Defensive,Grocery Stores,2025-07-21,12758620160,"Albertsons Companies, Inc.","Albertsons Companies, Inc.",NYSE,Delayed Quote
AA,Basic Materials,Aluminum,2025-07-18,7153462272,Alcoa Corporation,Alcoa Corporation,NYSE,Delayed Quote
ARE,Real Estate,REIT - Office,2025-07-21,12325466112,Alexandria Real Estate Equities,"Alexandria Real Estate Equities, Inc.",NYSE,Delayed Quote
ALGN,Healthcare,Medical Instruments & Supplies,2025-07-30,13268342784,"Align Technology, Inc.","Align Technology, Inc.",NasdaqGS,Nasdaq Real Time Price
ALLE,Industrials,Security & Protection Services,2025-07-22,12335167488,Allegion plc,Allegion plc,NYSE,Delayed Quote
ALGM,Technology,Semiconductors,2025-07-30,4761200640,"Allegro MicroSystems, Inc.","Allegro MicroSystems, Inc.",NasdaqGS,Nasdaq Real Time Price
LNT,Utilities,Utilities - Regulated Electric,2025-07-30,15887779840,Alliant Energy Corporation,Alliant Energy Corporation,NasdaqGS,Nasdaq Real Time Price
ALSN,Consumer Cyclical,Auto Parts,2025-07-23,8829902848,"Allison Transmission Holdings, ","Allison Transmission Holdings, Inc.",NYSE,Delayed Quote
ALL,Financial Services,Insurance - Property & Casualty,2025-07-30,54753767424,Allstate Corporation (The),The Allstate Corporation,NYSE,Nasdaq Real Time Price
ALLY,Financial Services,Credit Services,2025-07-15,10837134336,Ally Financial Inc.,Ally Financial Inc.,NYSE,Delayed Quote
ALNY,Healthcare,Biotechnology,2025-07-30,38190645248,"Alnylam Pharmaceuticals, Inc.","Alnylam Pharmaceuticals, Inc.",NasdaqGS,Nasdaq Real Time Price
GOOGL,Communication Services,Internet Content & Information,2025-07-21,2091484708864,Alphabet Inc.,Alphabet Inc.,NasdaqGS,Nasdaq Real Time Price
GOOG,Communication Services,Internet Content & Information,2025-07-21,2091484315648,Alphabet Inc.,Alphabet Inc.,NasdaqGS,Nasdaq Real Time Price
MO,Consumer Defensive,Tobacco,2025-07-30,100191084544,"Altria Group, Inc.","Altria Group, Inc.",NYSE,Nasdaq Real Time Price
AMZN,Consumer Cyclical,Internet Retail,2025-07-30,2183793475584,"Amazon.com, Inc.","Amazon.com, Inc.",NasdaqGS,Nasdaq Real Time Price
AMCR,Consumer Cyclical,Packaging & Containers,2025-04-30,20805367808,Amcor plc,Amcor plc,NYSE,Nasdaq Real Time Price
DOX,Technology,Software - Infrastructure,2025-08-05,10194333696,Amdocs Limited,Amdocs Limited,NasdaqGS,Nasdaq Real Time Price
AMED,Healthcare,Medical Care Facilities,2025-07-22,3083073280,Amedisys Inc,"Amedisys, Inc.",NasdaqGS,Nasdaq Real Time Price
AMTM,Industrials,Specialty Business Services,2025-05-06,4954036224,"Amentum Holdings, Inc.","Amentum Holdings, Inc.",NYSE,N/A
AS,Consumer Cyclical,Leisure,2025-05-20,20433397760,"Amer Sports, Inc.","Amer Sports, Inc.",NYSE,Delayed Quote
AEE,Utilities,Utilities - Regulated Electric,2025-07-30,26072840192,Ameren Corporation,Ameren Corporation,NYSE,Delayed Quote
AAL,Industrials,Airlines,2025-07-23,7518436352,"American Airlines Group, Inc.",American Airlines Group Inc.,NasdaqGS,Nasdaq Real Time Price
AEP,Utilities,Utilities - Regulated Electric,2025-07-28,54771011584,American Electric Power Company,"American Electric Power Company, Inc.",NasdaqGS,Nasdaq Real Time Price
AXP,Financial Services,Credit Services,2025-07-17,206939979776,American Express Company,American Express Company,NYSE,N/A
AFG,Financial Services,Insurance - Property & Casualty,2025-08-04,10271878144,"American Financial Group, Inc.","American Financial Group, Inc.",NYSE,Delayed Quote
AMH,Real Estate,REIT - Residential,2025-07-30,15807674368,American Homes 4 Rent,American Homes 4 Rent,NYSE,N/A
AIG,Financial Services,Insurance - Diversified,2025-07-29,48175419392,"American International Group, I","American International Group, Inc.",NYSE,Delayed Quote
AMT,Real Estate,REIT - Specialty,2025-07-28,100045774848,American Tower Corporation (REI,American Tower Corporation,NYSE,Nasdaq Real Time Price
AWK,Utilities,Utilities - Regulated Water,2025-07-30,27601997824,"American Water Works Company, I","American Water Works Company, Inc.",NYSE,Delayed Quote
COLD,Real Estate,REIT - Industrial,2025-08-07,4787678208,"Americold Realty Trust, Inc.","Americold Realty Trust, Inc.",NYSE,Delayed Quote
AMP,Financial Services,Asset Management,2025-07-22,48555962368,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc.",NYSE,Delayed Quote
AME,Industrials,Specialty Industrial Machinery,2025-07-30,41567453184,"AMETEK, Inc.","AMETEK, Inc.",NYSE,Nasdaq Real Time Price
AMGN,Healthcare,Drug Manufacturers - General,2025-08-04,152461164544,Amgen Inc.,Amgen Inc.,NasdaqGS,Nasdaq Real Time Price
AMKR,Technology,Semiconductor Equipment & Materials,2025-07-28,4624888320,"Amkor Technology, Inc.","Amkor Technology, Inc.",NasdaqGS,Nasdaq Real Time Price
APH,Technology,Electronic Components,2025-07-23,107557625856,Amphenol Corporation,Amphenol Corporation,NYSE,Nasdaq Real Time Price
ADI,Technology,Semiconductors,2025-08-19,107065507840,"Analog Devices, Inc.","Analog Devices, Inc.",NasdaqGS,Nasdaq Real Time Price
ANGI,Communication Services,Internet Content & Information,2025-08-04,752916032,Angi Inc.,Angi Inc.,NasdaqGS,Nasdaq Real Time Price
NLY,Real Estate,REIT - Mortgage,2025-07-22,11605607424,Annaly Capital Management Inc.,"Annaly Capital Management, Inc.",NYSE,Nasdaq Real Time Price
ANSS,Technology,Software - Application,2025-07-29,28901535744,"ANSYS, Inc.","ANSYS, Inc.",NasdaqGS,Nasdaq Real Time Price
AM,Energy,Oil & Gas Midstream,2025-07-29,9038070784,Antero Midstream Corporation,Antero Midstream Corporation,NYSE,Delayed Quote
AR,Energy,Oil & Gas E&P,2025-07-30,12060868608,Antero Resources Corporation,Antero Resources Corporation,NYSE,Delayed Quote
AON,Financial Services,Insurance Brokers,2025-07-24,79232704512,Aon plc,Aon plc,NYSE,Nasdaq Real Time Price
APA,Energy,Oil & Gas E&P,2025-07-29,6257052160,APA Corporation,APA Corporation,NasdaqGS,Nasdaq Real Time Price
APG,Industrials,Engineering & Construction,2025-07-30,12945038336,APi Group Corporation,APi Group Corporation,NYSE,Delayed Quote
APLS,Healthcare,Biotechnology,2025-07-30,2188123648,"Apellis Pharmaceuticals, Inc.","Apellis Pharmaceuticals, Inc.",NasdaqGS,Nasdaq Real Time Price
APO,Financial Services,Asset Management,2025-07-30,75265761280,"Apollo Global Management, Inc. ","Apollo Global Management, Inc.",NYSE,Delayed Quote
APPF,Technology,Software - Application,2025-07-23,7545109504,"AppFolio, Inc.","AppFolio, Inc.",NasdaqGM,Nasdaq Real Time Price
AAPL,Technology,Consumer Electronics,2025-07-30,2986413129728,Apple Inc.,Apple Inc.,NasdaqGS,Nasdaq Real Time Price
AMAT,Technology,Semiconductor Equipment & Materials,2025-08-13,127982379008,"Applied Materials, Inc.","Applied Materials, Inc.",NasdaqGS,Nasdaq Real Time Price
APP,Communication Services,Advertising Agencies,2025-08-05,130018443264,Applovin Corporation,AppLovin Corporation,NasdaqGS,Nasdaq Real Time Price
ATR,Healthcare,Medical Instruments & Supplies,2025-07-31,10456223744,"AptarGroup, Inc.","AptarGroup, Inc.",NYSE,Delayed Quote
APTV,Consumer Cyclical,Auto Parts,2025-07-30,14825234432,Aptiv PLC,Aptiv PLC,NYSE,Nasdaq Real Time Price
ARMK,Industrials,Specialty Business Services,2025-08-04,10527391744,Aramark,Aramark,NYSE,Delayed Quote
ACGL,Financial Services,Insurance - Diversified,2025-07-28,35301920768,Arch Capital Group Ltd.,Arch Capital Group Ltd.,NasdaqGS,Nasdaq Real Time Price
ADM,Consumer Defensive,Farm Products,2025-07-28,23239364608,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company,NYSE,Delayed Quote
ARES,Financial Services,Asset Management,2025-07-31,53852708864,Ares Management Corporation,Ares Management Corporation,NYSE,Delayed Quote
ANET,Technology,Computer Hardware,2025-07-28,108473810944,"Arista Networks, Inc.",Arista Networks Inc,NYSE,Delayed Quote
AWI,Industrials,Building Products & Equipment,2025-07-28,6773711872,Armstrong World Industries Inc,"Armstrong World Industries, Inc.",NYSE,Delayed Quote
ARW,Technology,Electronics & Computer Distribution,2025-07-30,6187011584,"Arrow Electronics, Inc.","Arrow Electronics, Inc.",NYSE,Delayed Quote
AJG,Financial Services,Insurance Brokers,2025-07-23,87544512512,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,NYSE,Nasdaq Real Time Price
ASH,Basic Materials,Specialty Chemicals,2025-08-04,2326763776,Ashland Inc.,Ashland Inc.,NYSE,Delayed Quote
AIZ,Financial Services,Insurance - Property & Casualty,2025-08-04,10138432512,"Assurant, Inc.","Assurant, Inc.",NYSE,Delayed Quote
AGO,Financial Services,Insurance - Specialty,2025-08-05,4151280128,Assured Guaranty Ltd.,Assured Guaranty Ltd.,NYSE,N/A
ALAB,Technology,Semiconductors,2025-08-05,15932631040,"Astera Labs, Inc.","Astera Labs, Inc.",NasdaqGS,Nasdaq Real Time Price
T,Communication Services,Telecom Services,2025-07-22,197156257792,AT&T Inc.,AT&T Inc.,NYSE,Delayed Quote
ATI,Industrials,Metal Fabrication,2025-08-04,11251584000,ATI Inc.,ATI Inc.,NYSE,Delayed Quote
TEAM,Technology,Software - Application,2025-08-01,53532848128,Atlassian Corporation,Atlassian Corporation,NasdaqGS,Nasdaq Real Time Price
ATO,Utilities,Utilities - Regulated Gas,2025-08-05,24514899968,Atmos Energy Corporation,Atmos Energy Corporation,NYSE,Delayed Quote
ADSK,Technology,Software - Application,2025-08-27,63541661696,"Autodesk, Inc.","Autodesk, Inc.",NasdaqGS,Nasdaq Real Time Price
ADP,Technology,Software - Application,2025-07-29,131567763456,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",NasdaqGS,Nasdaq Real Time Price
AN,Consumer Cyclical,Auto & Truck Dealerships,2025-07-29,6884220928,"AutoNation, Inc.","AutoNation, Inc.",NYSE,Nasdaq Real Time Price
AZO,Consumer Cyclical,Auto Parts,2025-05-27,61705371648,"AutoZone, Inc.","AutoZone, Inc.",NYSE,N/A
AVB,Real Estate,REIT - Residential,2025-07-29,29330655232,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",NYSE,Delayed Quote
AVTR,Healthcare,Medical Instruments & Supplies,2025-07-24,8885847040,"Avantor, Inc.","Avantor, Inc.",NYSE,Nasdaq Real Time Price
AVY,Consumer Cyclical,Packaging & Containers,2025-07-21,14044246016,Avery Dennison Corporation,Avery Dennison Corporation,NYSE,Delayed Quote
CAR,Industrials,Rental & Leasing Services,2025-08-04,4205115904,"Avis Budget Group, Inc.","Avis Budget Group, Inc.",NasdaqGS,Nasdaq Real Time Price
AVT,Technology,Electronics & Computer Distribution,2025-08-06,4248210688,"Avnet, Inc.","Avnet, Inc.",NasdaqGS,Nasdaq Real Time Price
AXTA,Basic Materials,Specialty Chemicals,2025-07-30,6821226496,Axalta Coating Systems Ltd.,Axalta Coating Systems Ltd.,NYSE,Delayed Quote
AXS,Financial Services,Insurance - Specialty,2025-07-30,8065885696,Axis Capital Holdings Limited,AXIS Capital Holdings Limited,NYSE,Delayed Quote
AXON,Industrials,Aerospace & Defense,2025-08-04,56853659648,"Axon Enterprise, Inc.","Axon Enterprise, Inc.",NasdaqGS,Nasdaq Real Time Price
AZEK,Industrials,Building Products & Equipment,2025-08-05,7054600192,The AZEK Company Inc.,The AZEK Company Inc.,NYSE,Delayed Quote
AZTA,Healthcare,Medical Instruments & Supplies,2025-08-04,1251164672,"Azenta, Inc.","Azenta, Inc.",NasdaqGS,Nasdaq Real Time Price
BKR,Energy,Oil & Gas Equipment & Services,2025-07-23,37014421504,Baker Hughes Company,Baker Hughes Company,NasdaqGS,Nasdaq Real Time Price
BALL,Consumer Cyclical,Packaging & Containers,2025-07-30,14855733248,Ball Corporation,Ball Corporation,NYSE,Delayed Quote
BAC,Financial Services,Banks - Diversified,2025-07-16,333210386432,Bank of America Corporation,Bank of America Corporation,NYSE,Nasdaq Real Time Price
OZK,Financial Services,Banks - Regional,2025-07-15,5035195392,Bank OZK,Bank OZK,NasdaqGS,Nasdaq Real Time Price
BBWI,Consumer Cyclical,Specialty Retail,2025-08-26,6087740416,"Bath & Body Works, Inc.","Bath & Body Works, Inc.",NYSE,Delayed Quote
BAX,Healthcare,Medical Instruments & Supplies,2025-08-04,15754473472,Baxter International Inc.,Baxter International Inc.,NYSE,Delayed Quote
BDX,Healthcare,Medical Instruments & Supplies,2025-08-07,49818034176,"Becton, Dickinson and Company","Becton, Dickinson and Company",NYSE,Delayed Quote
BRBR,Consumer Defensive,Packaged Foods,2025-08-05,7836984832,"BellRing Brands, Inc.","BellRing Brands, Inc.",NYSE,Delayed Quote
BSY,Technology,Software - Application,2025-08-04,14556219392,"Bentley Systems, Incorporated","Bentley Systems, Incorporated",NasdaqGS,Nasdaq Real Time Price
BBY,Consumer Cyclical,Specialty Retail,2025-08-27,14039015424,"Best Buy Co., Inc.","Best Buy Co., Inc.",NYSE,N/A
BILL,Technology,Software - Application,2025-08-20,4471371776,"BILL Holdings, Inc.","BILL Holdings, Inc.",NYSE,Delayed Quote
BIO,Healthcare,Medical Devices,2025-07-30,6228342784,"Bio-Rad Laboratories, Inc.","Bio-Rad Laboratories, Inc.",NYSE,Delayed Quote
TECH,Healthcare,Biotechnology,2025-08-05,7576549888,Bio-Techne Corp,Bio-Techne Corporation,NasdaqGS,Nasdaq Real Time Price
BIIB,Healthcare,Drug Manufacturers - General,2025-07-30,19451592704,Biogen Inc.,Biogen Inc.,NasdaqGS,Nasdaq Real Time Price
BMRN,Healthcare,Biotechnology,2025-08-04,11228484608,BioMarin Pharmaceutical Inc.,BioMarin Pharmaceutical Inc.,NasdaqGS,Nasdaq Real Time Price
BIRK,Consumer Cyclical,Footwear & Accessories,2025-08-27,10035916800,Birkenstock Holding plc,Birkenstock Holding plc,NYSE,Delayed Quote
BJ,Consumer Defensive,Discount Stores,2025-08-20,14663054336,"BJ's Wholesale Club Holdings, I","BJ's Wholesale Club Holdings, Inc.",NYSE,Delayed Quote
BLK,Financial Services,Asset Management,2025-07-14,151257350144,"BlackRock, Inc.","BlackRock, Inc.",NYSE,Delayed Quote
BX,Financial Services,Asset Management,2025-07-16,168493383680,Blackstone Inc.,Blackstone Inc.,NYSE,Delayed Quote
HRB,Consumer Cyclical,Personal Services,2025-08-13,7607061504,"H&R Block, Inc.","H&R Block, Inc.",NYSE,Delayed Quote
XYZ,Technology,Software - Infrastructure,2025-07-30,38229581824,"Block, Inc.","Block, Inc.",NYSE,Nasdaq Real Time Price
OWL,Financial Services,Asset Management,2025-05-01,29024438272,Blue Owl Capital Inc.,Blue Owl Capital Inc.,NYSE,Delayed Quote
BK,Financial Services,Banks - Diversified,2025-07-15,63723704320,The Bank of New York Mellon Cor,The Bank of New York Mellon Corporation,NYSE,Delayed Quote
BA,Industrials,Aerospace & Defense,2025-07-29,156968960000,Boeing Company (The),The Boeing Company,NYSE,Nasdaq Real Time Price
BOKF,Financial Services,Banks - Regional,2025-07-21,6079809024,BOK Financial Corporation,BOK Financial Corporation,NasdaqGS,Nasdaq Real Time Price
BKNG,Consumer Cyclical,Travel Services,2025-07-30,179036733440,Booking Holdings Inc. Common St,Booking Holdings Inc.,NasdaqGS,Nasdaq Real Time Price
BAH,Industrials,Consulting Services,2025-07-24,13129155584,Booz Allen Hamilton Holding Cor,Booz Allen Hamilton Holding Corporation,NYSE,Delayed Quote
BWA,Consumer Cyclical,Auto Parts,2025-07-29,7349634048,BorgWarner Inc.,BorgWarner Inc.,NYSE,Nasdaq Real Time Price
SAM,Consumer Defensive,Beverages - Brewers,2025-07-23,2577401088,"Boston Beer Company, Inc. (The)","The Boston Beer Company, Inc.",NYSE,Delayed Quote
BSX,Healthcare,Medical Devices,2025-07-22,154602520576,Boston Scientific Corporation,Boston Scientific Corporation,NYSE,Delayed Quote
BYD,Consumer Cyclical,Resorts & Casinos,2025-07-23,6115001344,Boyd Gaming Corporation,Boyd Gaming Corporation,NYSE,Delayed Quote
BFAM,Consumer Cyclical,Personal Services,2025-07-30,7321564672,Bright Horizons Family Solution,Bright Horizons Family Solutions Inc.,NYSE,Delayed Quote
BHF,Financial Services,Insurance - Life,2025-08-05,3392871936,"Brighthouse Financial, Inc.","Brighthouse Financial, Inc.",NasdaqGS,Nasdaq Real Time Price
BMY,Healthcare,Drug Manufacturers - General,2025-07-31,97378574336,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,NYSE,N/A
BRX,Real Estate,REIT - Retail,2025-07-28,7838196736,Brixmor Property Group Inc.,Brixmor Property Group Inc.,NYSE,Nasdaq Real Time Price
AVGO,Technology,Semiconductors,2025-06-05,1137730781184,Broadcom Inc.,Broadcom Inc.,NasdaqGS,Nasdaq Real Time Price
BR,Technology,Information Technology Services,2025-08-04,28158230528,"Broadridge Financial Solutions,","Broadridge Financial Solutions, Inc.",NYSE,Nasdaq Real Time Price
BEPC,Utilities,Utilities - Renewable,2025-07-31,5249215488,Brookfield Renewable Corporatio,Brookfield Renewable Corporation,NYSE,Delayed Quote
BRO,Financial Services,Insurance Brokers,2025-07-21,32016347136,"Brown & Brown, Inc.","Brown & Brown, Inc.",NYSE,Nasdaq Real Time Price
BRKR,Healthcare,Medical Devices,2025-08-04,5646082048,Bruker Corporation,Bruker Corporation,NasdaqGS,Nasdaq Real Time Price
BC,Consumer Cyclical,Recreational Vehicles,2025-07-23,3378754048,Brunswick Corporation,Brunswick Corporation,NYSE,Nasdaq Real Time Price
BLDR,Industrials,Building Products & Equipment,2025-08-04,12038398976,"Builders FirstSource, Inc.","Builders FirstSource, Inc.",NYSE,N/A
BG,Consumer Defensive,Farm Products,2025-07-29,10647563264,Bunge Limited,Bunge Global SA,NYSE,Delayed Quote
BURL,Consumer Cyclical,Apparel Retail,2025-08-27,14349076480,"Burlington Stores, Inc.","Burlington Stores, Inc.",NYSE,Delayed Quote
BWXT,Industrials,Aerospace & Defense,2025-08-04,11442928640,"BWX Technologies, Inc.","BWX Technologies, Inc.",NYSE,Nasdaq Real Time Price
BXP,Real Estate,REIT - Office,2025-07-28,12168756224,"BXP, Inc.","BXP, Inc.",NYSE,Delayed Quote
CHRW,Industrials,Integrated Freight & Logistics,2025-07-29,11410049024,"C.H. Robinson Worldwide, Inc.","C.H. Robinson Worldwide, Inc.",NasdaqGS,Nasdaq Real Time Price
CACI,Technology,Information Technology Services,2025-08-05,9437711360,"CACI International, Inc.",CACI International Inc,NYSE,Delayed Quote
CDNS,Technology,Software - Application,2025-07-21,77680443392,"Cadence Design Systems, Inc.","Cadence Design Systems, Inc.",NasdaqGS,Nasdaq Real Time Price
CZR,Consumer Cyclical,Resorts & Casinos,2025-07-28,5671287296,"Caesars Entertainment, Inc.","Caesars Entertainment, Inc.",NasdaqGS,Nasdaq Real Time Price
CPT,Real Estate,REIT - Residential,2025-07-30,12490430464,Camden Property Trust,Camden Property Trust,NYSE,Delayed Quote
CPB,Consumer Defensive,Packaged Foods,2025-06-02,10188878848,The Campbell's Company,The Campbell's Company,NasdaqGS,Nasdaq Real Time Price
COF,Financial Services,Credit Services,2025-07-21,122112720896,Capital One Financial Corporati,Capital One Financial Corporation,NYSE,Delayed Quote
CPRI,Consumer Cyclical,Luxury Goods,2025-08-06,2182717696,Capri Holdings Limited,Capri Holdings Limited,NYSE,Delayed Quote
CAH,Healthcare,Medical Distribution,2025-08-12,36753870848,"Cardinal Health, Inc.","Cardinal Health, Inc.",NYSE,Nasdaq Real Time Price
CSL,Industrials,Building Products & Equipment,2025-07-22,16753849344,Carlisle Companies Incorporated,Carlisle Companies Incorporated,NYSE,Delayed Quote
CG,Financial Services,Asset Management,2025-08-04,16568920064,The Carlyle Group Inc.,The Carlyle Group Inc.,NasdaqGS,Nasdaq Real Time Price
KMX,Consumer Cyclical,Auto & Truck Dealerships,2025-06-19,9597105152,CarMax Inc,"CarMax, Inc.",NYSE,Delayed Quote
CCL,Consumer Cyclical,Travel Services,2025-06-23,31378558976,Carnival Corporation,Carnival Corporation & plc,NYSE,Nasdaq Real Time Price
CARR,Industrials,Building Products & Equipment,2025-07-23,61220511744,Carrier Global Corporation,Carrier Global Corporation,NYSE,Delayed Quote
CRI,Consumer Cyclical,Apparel Retail,2025-07-24,1173406720,"Carter's, Inc.","Carter's, Inc.",NYSE,Delayed Quote
CVNA,Consumer Cyclical,Auto & Truck Dealerships,2025-07-29,37382107136,Carvana Co.,Carvana Co.,NYSE,Nasdaq Real Time Price
CASY,Consumer Cyclical,Specialty Retail,2025-06-09,16036194304,"Caseys General Stores, Inc.","Casey's General Stores, Inc.",NasdaqGS,Nasdaq Real Time Price
CAT,Industrials,Farm & Heavy Construction Machinery,2025-08-04,165452120064,"Caterpillar, Inc.",Caterpillar Inc.,NYSE,N/A
CAVA,Consumer Cyclical,Restaurants,2025-08-20,9470240768,"CAVA Group, Inc.","CAVA Group, Inc.",NYSE,N/A
CBOE,Financial Services,Financial Data & Stock Exchanges,2025-07-31,23794982912,"Cboe Global Markets, Inc.","Cboe Global Markets, Inc.",Cboe US,Delayed Quote
CBRE,Real Estate,Real Estate Services,2025-07-23,37164748800,CBRE Group Inc,"CBRE Group, Inc.",NYSE,Delayed Quote
CCCS,Technology,Software - Application,2025-07-28,5773365248,CCC Intelligent Solutions Holdi,CCC Intelligent Solutions Holdings Inc.,NasdaqGS,Nasdaq Real Time Price
CDW,Technology,Information Technology Services,2025-07-29,24012761088,CDW Corporation,CDW Corporation,NasdaqGS,Nasdaq Real Time Price
CE,Basic Materials,Chemicals,2025-07-30,5963775488,Celanese Corporation,Celanese Corporation,NYSE,Nasdaq Real Time Price
CELH,Consumer Defensive,Beverages - Non-Alcoholic,2025-08-04,9366307840,"Celsius Holdings, Inc.","Celsius Holdings, Inc.",NasdaqCM,Nasdaq Real Time Price
COR,Healthcare,Medical Distribution,2025-07-29,56342409216,"Cencora, Inc.","Cencora, Inc.",NYSE,N/A
CNC,Healthcare,Healthcare Plans,2025-07-24,28124522496,Centene Corporation,Centene Corporation,NYSE,Delayed Quote
CNP,Utilities,Utilities - Regulated Electric,2025-07-28,24222736384,"CenterPoint Energy, Inc (Holdin","CenterPoint Energy, Inc.",NYSE,Delayed Quote
CERT,Healthcare,Health Information Services,2025-08-04,1849467520,"Certara, Inc.","Certara, Inc.",NasdaqGS,Nasdaq Real Time Price
CF,Basic Materials,Agricultural Inputs,2025-08-06,14598721536,"CF Industries Holdings, Inc.","CF Industries Holdings, Inc.",NYSE,Nasdaq Real Time Price
CRL,Healthcare,Diagnostics & Research,2025-08-05,6763231744,Charles River Laboratories Inte,"Charles River Laboratories International, Inc.",NYSE,Delayed Quote
SCHW,Financial Services,Capital Markets,2025-07-14,159457296384,Charles Schwab Corporation (The,The Charles Schwab Corporation,NYSE,Delayed Quote
CHTR,Communication Services,Telecom Services,2025-07-24,54674817024,"Charter Communications, Inc.","Charter Communications, Inc.",NasdaqGS,Nasdaq Real Time Price
CHE,Healthcare,Medical Care Facilities,2025-07-22,8385483264,Chemed Corp,Chemed Corporation,NYSE,Delayed Quote
CC,Basic Materials,Specialty Chemicals,2025-07-30,1513204096,Chemours Company (The),The Chemours Company,NYSE,Delayed Quote
LNG,Energy,Oil & Gas Midstream,2025-08-06,51411980288,"Cheniere Energy, Inc.","Cheniere Energy, Inc.",NYSE,Delayed Quote
CVX,Energy,Oil & Gas Integrated,2025-07-31,238891843584,Chevron Corporation,Chevron Corporation,NYSE,Delayed Quote
